Variable no,Variable Description
covid2m_6175,e11: Participant helped others by shopping for groceries: COVID2
covid2m_6176,e11: Participant helped others by getting in touch to check on wellbeing: COVID2
covid2m_6177,e11: Participant helped others by delivering medicines: COVID2
covid2m_6178,e11: Participant helped others by providing transport to appointments: COVID2
covid2m_6179,e11: Participant helped others with something else: COVID2
covid2m_6190,e12: Participant has received new unpaid help during the pandemic: COVID2
covid2m_6195,e12: Participant received help through shopping for groceries: COVID2
covid2m_6196,e12: Pp received help through getting in touch to check on wellbeing: COVID2
covid2m_6197,e12: Participant received help through delivering medicines: COVID2
covid2m_6198,e12: Pp received help through providing transport to appointments: COVID2
covid2m_6199,e12: Participant received help through something else: COVID2
covid2m_7000,f0: How many children participant has: COVID2
covid2m_7050,f5a: Pp would benefit from support re. child's response to COVID-19: COVID2
covid2m_7060,f5a1: Participant would like help with: Managing children's emotions: COVID2
covid2m_7061,f5a1: Participant would like help with: Managing children's behaviours: COVID2
covid2m_7062,f5a1: Pp would like help with: Managing children's educational demands: COVID2
covid2m_7063,f5a1: Pp would like help with: Ensuring child follows govt guidelines: COVID2
covid2m_7064,f5a1: Participant would like help with: Managing family relationships: COVID2
covid2m_7065,f5a1: Pp would like help with: Children coming out of self-isolation: COVID2
covid2m_7066,f5a1: Participant would like help with: Other: COVID2
covid2m_7070,f5a2: Pp's preferred method of receiving help: Online written materials: COVID2
covid2m_7071,f5a2: Pp's preferred method of receiving help: Online videos: COVID2
covid2m_7072,f5a2: Pp's preferred method of receiving help: Television programmes: COVID2
covid2m_7073,f5a2: Pp's preferred method of receiving help: Podcasts: COVID2
covid2m_7074,f5a2: Pp's preferred method of receiving help: Telephone helpline: COVID2
covid2m_7075,f5a2: Pp's preferred method of receiving help: Online helpline: COVID2
covid2m_7076,f5a2: Preferred method of receiving help: Online support (other parents): COVID2
covid2m_7077,f5a2: Preferred method of receiving help: Online support (professional): COVID2
covid2m_7078,f5a2: Preferred method of receiving help: Phone call from professional: COVID2
covid2m_7079,f5a2: Pref method of receiving help: Online parent support group (text): COVID2
covid2m_7080,f5a2: Pref method of receiving help: Online parent support group (video): COVID2
covid2m_7081,f5a2: Pp's preferred method of receiving help: Other: COVID2
covid2m_9620,Date Participant completed questionnaire: Day: COVID2
covid2m_9621,Date Participant completed questionnaire: Month: COVID2
covid2m_9622,Date Participant completed questionnaire: Year: COVID2
covid2m_9650,DV: Age in years on date Q completed: COVID2
covid2m_9651,DV: Age in months on date Q completed: COVID2
covid2yp_0001,Questionnaire sent to participant: COVID2
covid2yp_0002,Questionnaire completed by participant: COVID2
covid2yp_1000,a1_1:  Participant had a decrease in appetite since mid-April: COVID2
covid2yp_1001,a1_2:  Participant had nausea and/or vomiting since mid-April: COVID2
covid2yp_1002,a1_3:  Participant had diarrhoea since mid-April: COVID2
covid2yp_1003,a1_4:  Participant had abdominal pain/tummy ache since mid-April: COVID2
covid2yp_1004,a1_5:  Participant had runny nose since mid-April: COVID2
covid2yp_1005,a1_6:  Participant had sneezing since mid-April: COVID2
covid2yp_1006,a1_7:  Participant had a blocked nose since mid-April: COVID2
covid2yp_1007,a1_8:  Participant had sore eyes since mid-April: COVID2
covid2yp_1008,a1_9:  Participant had loss of sense of smell or taste since mid-April: COVID2
covid2yp_1009,a1_10:  Participant had a sore throat since mid-April: COVID2
covid2yp_1010,a1_11:  Participant had a hoarse voice since mid-April: COVID2
covid2yp_1011,a1_12:  Pp had headaches more often/worse than usual since mid-April: COVID2
covid2yp_1012,a1_13:  Participant had dizziness since mid-April: COVID2
covid2yp_1013,a1_14:  Participant had a new persistent cough since mid-April: COVID2
covid2yp_1014,a1_15:  Participant had tightness in the chest since mid-April: COVID2
covid2yp_1015,a1_16:  Participant had chest pain since mid-April: COVID2
covid2yp_1016,a1_17:  Participant had fever since mid-April: COVID2
covid2yp_1017,a1_18:  Participant had chills since mid-April: COVID2
covid2yp_1018,a1_19:  Participant had difficulty sleeping since mid-April: COVID2
covid2yp_1019,a1_20:  Participant felt more tired than normal since mid-April: COVID2
covid2yp_1020,a1_21:  Participant had severe fatigue since mid-April: COVID2
covid2yp_1021,a1_22:  Participant had numbness or tingling since mid-April: COVID2
covid2yp_1022,a1_23:  Pp had feelings of heaviness in arms or legs since mid-April: COVID2
covid2yp_1023,a1_24:  Participant had achy muscles since mid-April: COVID2
covid2yp_1024,a1_25:  Participant had shortness of breath since mid-April: COVID2
covid2yp_1025,a1_26:  Participant had raised; red; itchy areas on skin since mid-April: COVID2
covid2yp_1026,a1_27:  Participant had sudden swelling of face or lips since mid-April: COVID2
covid2yp_1027,a1_28:  Pp had red/purple sores/blisters on feet/toes since mid-April: COVID2
covid2yp_1030,DV: Predicted COVID case; based on Menni algorithm (from mid-April): COVID2
covid2yp_1050,a2: Participant had temperature taken in the last week: COVID2
covid2yp_1051,a2a: Doctor/nurse/other healthcare professional took pp's temperature: COVID2
covid2yp_1052,a2b: Participant's highest temperature (Â°C): COVID2
covid2yp_1060,a3: Participant thinks they have or have had COVID-19: COVID2
covid2yp_1061,a3 (grouped): Participant thinks they have or have had COVID-19: COVID2
covid2yp_1110,a8: Pp happy to be contacted for testing/sample collection in future: COVID2
covid2yp_2000,b1a: # of home-cooked meals pp eats changed since lockdown: COVID2
covid2yp_2001,b1b: # of meals pp eats in a day changed since lockdown: COVID2
covid2yp_2002,b1c: # of snacks pp eats in a day changed since lockdown: COVID2
covid2yp_2003,b1d: Amount of physical activity/exercise changed since lockdown: COVID2
covid2yp_2004,b1e: Amount of sleep changed since lockdown: COVID2
covid2yp_2005,b1f: Amount of alcohol participant drinks changed since lockdown: COVID2
covid2yp_2006,b1g: Amount participant smokes/vapes changed since lockdown: COVID2
covid2yp_2010,b2a: Frequency participant eaten breakfast in last month: COVID2
covid2yp_2011,b2b: Frequency participant eaten lunch in last month: COVID2
covid2yp_2012,b2c: Frequency participant eaten dinner in last month: COVID2
covid2yp_2013,b2d: Frequency participant eaten snacks in last month: COVID2
covid2yp_2014,b2e: Frequency pp eaten wholegrain breakfast cereal in last month: COVID2
covid2yp_2015,b2f: Frequency participant eaten fresh fruit in last month: COVID2
covid2yp_2016,b2g: Frequency participant eaten vegetables in last month: COVID2
covid2yp_2017,b2h: Freq pp eaten potatoes (boiled/jacket/mashed only) in last month: COVID2
covid2yp_2018,b2i: Frequency pp eaten brown/wholemeal bread or rolls in last month: COVID2
covid2yp_2019,b2j: Frequency pp eaten white bread or rolls in last month: COVID2
covid2yp_2020,b2k: Frequency pp eaten chocolate or sweets in last month: COVID2
covid2yp_2021,b2l: Frequency pp eaten crisps or similar savoury snacks in last month: COVID2
covid2yp_2022,b2m: Frequency pp eaten baked beans/other legumes in last month: COVID2
covid2yp_2023,b2n: Frequency participant eaten biscuits or cake in last month: COVID2
covid2yp_2024,b2o: Frequency participant eaten processed meat in last month: COVID2
covid2yp_2030,DV: Estimated intake (grams per day): Wholegrain breakfast cereal: COVID2
covid2yp_2031,DV: Estimated intake (grams per day): Fresh fruit: COVID2
covid2yp_2032,DV: Estimated intake (grams per day): Vegetables: COVID2
covid2yp_2033,DV: Estimated intake (grams per day): Baked or boiled potatoes: COVID2
covid2yp_2034,DV: Estimated intake (grams per day): Brown/wholemeal bread or rolls: COVID2
covid2yp_2035,DV: Estimated intake (grams per day): White bread or rolls: COVID2
covid2yp_2036,DV: Estimated intake (grams per day): Chocolate or sweets: COVID2
covid2yp_2037,DV: Estimated intake (grams per day): Crisps or savoury snacks: COVID2
covid2yp_2038,DV: Estimated intake (grams per day): Baked beans and legumes: COVID2
covid2yp_2039,DV: Estimated intake (grams per day): Biscuits and cakes: COVID2
covid2yp_2040,DV: Estimated intake (grams per day): Processed meat: COVID2
covid2yp_2045,DV: Obesogenic dietary pattern score: COVID2
covid2yp_2050,b3: Since lockdown; frequency participant had a drink containing alcohol: COVID2
covid2yp_2051,b3a: Since lockdown; # units pp has on a typical day when drinking: COVID2
covid2yp_2052,b3b: Since lockdown; frequency pp has >6 units on one occasion: COVID2
covid2yp_2060,b4: Participant has gambled in the last month: COVID2
covid2yp_2061,b4a1: Participant bought tickets for the National Lottery in last month: COVID2
covid2yp_2062,b4a2: Participant has bought scratchcards in last month: COVID2
covid2yp_2063,b4a3: Participant has taken part in online gambling in last month: COVID2
covid2yp_2064,b4a4:  Participant has taken part in online betting in last month: COVID2
covid2yp_2065,b4a5:  Participant has taken part in a betting exchange in last month: COVID2
covid2yp_2066,b4a6:  Participant has taken part in spread betting in last month: COVID2
covid2yp_2067,b4a7:  Participant has taken part in private betting in last month: COVID2
covid2yp_2068,b4a8: Participant has taken part in other form of gambling in last month: COVID2
covid2yp_2080,b5a: Average time pp spent talking about COVID-19 in last 7 days: COVID2
covid2yp_2081,b5b: Average time pp spent reading/hearing about COVID-19 news: COVID2
covid2yp_2082,b5c: Average time pp spent reading about COVID-19 on social media: COVID2
covid2yp_2100,b6a1: How many 0-4 year olds pp spoke to yesterday face to face: COVID2
covid2yp_2101,b6a2: How many 5-17 year olds pp spoke to yesterday face to face: COVID2
covid2yp_2102,b6a3: How many 18-29 year olds pp spoke to yesterday face to face: COVID2
covid2yp_2103,b6a4: How many 30-39 year olds pp spoke to yesterday face to face: COVID2
covid2yp_2104,b6a5: How many 40-49 year olds pp spoke to yesterday face to face: COVID2
covid2yp_2105,b6a6: How many 50-59 year olds pp spoke to yesterday face to face: COVID2
covid2yp_2106,b6a7: How many 60-69 year olds pp spoke to yesterday face to face: COVID2
covid2yp_2107,b6a8: How many 70+ year olds pp spoke to yesterday face to face: COVID2
covid2yp_2110,b6b1: How many 0-4 year olds pp spoke to yesterday via phone: COVID2
covid2yp_2111,b6b2: How many 5-17 year olds pp spoke to yesterday via phone: COVID2
covid2yp_2112,b6b3: How many 18-29 year olds pp spoke to yesterday via phone: COVID2
covid2yp_2113,b6b4: How many 30-39 year olds pp spoke to yesterday via phone: COVID2
covid2yp_2114,b6b5: How many 40-49 year olds pp spoke to yesterday via phone: COVID2
covid2yp_2115,b6b6: How many 50-59 year olds pp spoke to yesterday via phone: COVID2
covid2yp_2116,b6b7: How many 60-69 year olds pp spoke to yesterday via phone: COVID2
covid2yp_2117,b6b8: How many 70+ year olds pp spoke to yesterday via phone: COVID2
covid2yp_2120,b6c1: How many 0-4 year olds pp spoke to yesterday via video media: COVID2
covid2yp_2121,b6c2: How many 5-17 year olds pp spoke to yesterday via video media: COVID2
covid2yp_2122,b6c3: How many 18-29 year olds pp spoke to yesterday via video media: COVID2
covid2yp_2123,b6c4: How many 30-39 year olds pp spoke to yesterday via video media: COVID2
covid2yp_2124,b6c5: How many 40-49 year olds pp spoke to yesterday via video media: COVID2
covid2yp_2125,b6c6: How many 50-59 year olds pp spoke to yesterday via video media: COVID2
covid2yp_2126,b6c7: How many 60-69 year olds pp spoke to yesterday via video media: COVID2
covid2yp_2127,b6c8: How many 70+ year olds pp spoke to yesterday via video media: COVID2
covid2yp_2130,b6d1: How many 0-4 y.o. pp spoke to yesterday with physical contact: COVID2
covid2yp_2131,b6d2: How many 5-17 y.o. pp spoke to yesterday with physical contact: COVID2
covid2yp_2132,b6d3: How many 18-29 y.o. pp spoke to yesterday with physical contact: COVID2
covid2yp_2133,b6d4: How many 30-39 y.o. pp spoke to yesterday with physical contact: COVID2
covid2yp_2134,b6d5: How many 40-49 y.o. pp spoke to yesterday with physical contact: COVID2
covid2yp_2135,b6d6: How many 50-59 y.o. pp spoke to yesterday with physical contact: COVID2
covid2yp_2136,b6d7: How many 60-69 y.o. pp spoke to yesterday with physical contact: COVID2
covid2yp_2137,b6d8: How many 70+ y.o. pp spoke to yesterday with physical contact: COVID2
covid2yp_2150,b7: Participant has or is self-isolating: COVID2
covid2yp_2154,DV: How many weeks pp self-isolated/is planning to self-isolate for: COVID2
covid2yp_2160,b7c1: Pp self-isolated because they were diagnosed with COVID-19: COVID2
covid2yp_2161,b7c2: Pp self-isolated bc showed symptoms; but not diagnosed COVID-19: COVID2
covid2yp_2162,b7c3: Pp self-isolated because they someone in household had symptoms: COVID2
covid2yp_2163,b7c4: Participant self-isolated because they are in a vulnerable group: COVID2
covid2yp_2164,b7c5: Pp self-isolated because live with someone in a vulnerable group: COVID2
covid2yp_2165,b7c6: Pp self-isolated bc travelled somewhere and was told to on return: COVID2
covid2yp_2166,b7c7: Participant self-isolated for another reason: COVID2
covid2yp_4000,c1a: How worried participant is about getting COVID-19: COVID2
covid2yp_4010,c1b: How worried pp is about someone close to them getting COVID-19: COVID2
covid2yp_4011,c1c: How worried participant is about passing on COVID-19 to others: COVID2
covid2yp_4012,c1d: How worried participant is about dying due to COVID-19 infection: COVID2
covid2yp_4013,c1e: How worried pp about someone close dying due to COVID-19 infection: COVID2
covid2yp_4014,c1f: How worried pp about them/family being in serious financial trouble: COVID2
covid2yp_4015,c1g: How worried participant is about losing their job: COVID2
covid2yp_4016,c1h: How worried participant is about the impact on their business: COVID2
covid2yp_4017,c1i: How worried participant is about paying the rent/mortgage: COVID2
covid2yp_4018,c1j: How worried participant is about not seeing friends and family: COVID2
covid2yp_4019,c1k: How worried participant is about getting the medications they need: COVID2
covid2yp_4020,c1l: How worried participant is about getting the food they need: COVID2
covid2yp_4021,c1m: How worried participant is about their mental health: COVID2
covid2yp_4022,c1n: How worried participant is about their physical health: COVID2
covid2yp_4023,c1o: How worried pp is about the relationship with their spouse/partner: COVID2
covid2yp_4024,c1p:  How worried pp is about the relationship with their children: COVID2
covid2yp_4025,c1q: How worried pp is about the relationship with the rest of my family: COVID2
covid2yp_4026,c1r: How worried participant is about the impact on their children: COVID2
covid2yp_4027,c1s: How worried participant is about the impact on their parents: COVID2
covid2yp_4028,c1t: How worried pp is about time for things to get back to normal: COVID2
covid2yp_4029,c1u: How worried participant is another reason: COVID2
covid2yp_4050,c2a: In past two weeks participant felt miserable or unhappy: COVID2
covid2yp_4051,c2b: In past two weeks participant didn't enjoy anything at all: COVID2
covid2yp_4052,c2c: In past two weeks pp felt so tired just sat around and did nothing: COVID2
covid2yp_4053,c2d: In past two weeks participant was very restless: COVID2
covid2yp_4054,c2e: In past two weeks participant they felt they were no good anymore: COVID2
covid2yp_4055,c2f: In past two weeks participant cried a lot: COVID2
covid2yp_4056,c2g: In past two weeks pp found it hard to think properly/concentrate: COVID2
covid2yp_4057,c2h: In past two weeks participant hated themselves: COVID2
covid2yp_4058,c2i: In past two weeks participant was a bad person: COVID2
covid2yp_4059,c2j: In past two weeks participant felt lonely: COVID2
covid2yp_4060,c2k: In past two weeks participant thought nobody really loved them: COVID2
covid2yp_4061,c2l: In past two weeks pp thought they could never be as good as others: COVID2
covid2yp_4062,c2m: In past two weeks participant did everything wrong: COVID2
covid2yp_4065,DV: Total score - Moods and feelings Q: COVID2
covid2yp_4066,DV: Total score - Moods and feelings Q: dichotomised at 12: COVID2
covid2yp_4067,DV: Number of missing questions - Moods and feelings Q: COVID2
covid2yp_4070,c3a: In past two weeks how often pp felt nervous; anxious or on edge: COVID2
covid2yp_4071,c3b: In past two weeks how often pp not able to stop or control worrying: COVID2
covid2yp_4072,c3c:  In past two weeks how often pp worrying too much about things: COVID2
covid2yp_4073,c3d:  In past two weeks how often participant had trouble relaxing: COVID2
covid2yp_4074,c3e:  In past two weeks how often pp so restless was hard to sit still: COVID2
covid2yp_4075,c3f:  In past two weeks how often pp became easily annoyed or irritable: COVID2
covid2yp_4076,c3g: In past 2wks freq pp felt afraid as if something awful might happen: COVID2
covid2yp_4080,DV: Total score - GAD7: COVID2
covid2yp_4081,DV: Total score - GAD7: categories of anxiety: COVID2
covid2yp_4082,DV: Number of missing questions - GAD7: COVID2
covid2yp_4100,c4a: In past two weeks how often pp felt optimistic about the future: COVID2
covid2yp_4101,c4b: In past two weeks how often participant felt useful: COVID2
covid2yp_4102,c4c: In past two weeks how often participant felt relaxed: COVID2
covid2yp_4103,c4d: In past two weeks how often pp felt interested in other people: COVID2
covid2yp_4104,c4e: In past two weeks how often participant has had energy to spare: COVID2
covid2yp_4105,c4f: In past two weeks how often pp has dealt with problems well: COVID2
covid2yp_4106,c4g: In past two weeks how often participant has been thinking clearly: COVID2
covid2yp_4107,c4h: In past two weeks how often pp has felt good about themselves: COVID2
covid2yp_4108,c4i: In past two weeks how often pp has felt close to other people: COVID2
covid2yp_4109,c4j: In past two weeks how often participant has felt confident: COVID2
covid2yp_4110,c4k: In past 2wks how often pp able to make up mind about things : COVID2
covid2yp_4111,c4l: In past two weeks how often participant has felt loved: COVID2
covid2yp_4112,c4m: In past two weeks how often pp been interested in new things: COVID2
covid2yp_4113,c4n: In past two weeks how often participant has felt cheerful: COVID2
covid2yp_4120,DV: Total score - Warwick Edinburgh Mental wellbeing Scale: COVID2
covid2yp_4121,DV: Total score -  WEMWBS: Dichotomised for low mental wellbeing: COVID2
covid2yp_4122,DV: Total score -  WEMWBS: Categories of depression: COVID2
covid2yp_4123,DV: Number of missing questions - WEMWBS: COVID2
covid2yp_4150,c5a: Pp believes COVID-19 will not affect many in country they live: COVID2
covid2yp_4151,c5b: Pp believes they will probably get sick with COVID-19: COVID2
covid2yp_4152,c5c: Pp believes getting sick with COVID-19 can be serious: COVID2
covid2yp_5000,d1: Participant lives with others: COVID2
covid2yp_5010,d1a1: Number of partner/spouse(s) participant lives with: COVID2
covid2yp_5011,d1a2: Number of parents participant lives with: COVID2
covid2yp_5012,d1a3: Number of siblings participant lives with: COVID2
covid2yp_5013,d1a4: Number of children participant lives with: COVID2
covid2yp_5014,d1a5: Number of other family members participant lives with: COVID2
covid2yp_5015,d1a6: Number of friends participant lives with: COVID2
covid2yp_5016,d1a7: Number of lodgers participant lives with: COVID2
covid2yp_5017,d1a8: Number of others participant lives with: COVID2
covid2yp_5020,d1b1: Number of children aged 0-4 years participant lives with: COVID2
covid2yp_5021,d1b2: Number of children 5-17 years participant lives with: COVID2
covid2yp_5022,d1b3: Number of adults 18-29 years participant lives with: COVID2
covid2yp_5023,d1b4: Number of adults 30-39 years participant lives with: COVID2
covid2yp_5024,d1b5: Number of adults 40-49 years participant lives with: COVID2
covid2yp_5025,d1b6: Number of adults 50-59 years participant lives with: COVID2
covid2yp_5026,d1b7: Number of adults 60-69 years participant lives with: COVID2
covid2yp_5027,d1b8: Number of adults 70+ years participant lives with: COVID2
covid2yp_5030,d1c: Participant does not live with anyone elderly or shielding: COVID2
covid2yp_5031,d1c: Participant lives with someone over 70 but no shielded condition: COVID2
covid2yp_5032,d1c: Participant lives with a child (<18) with a shielded condition: COVID2
covid2yp_5033,d1c: Participant lives with an adult (18-69) with a shielded condition: COVID2
covid2yp_5034,d1c: Pp lives with an older adult (70+) with a shielded condition: COVID2
covid2yp_5100,d2: Participant has changed living arrangements due to COVID-19: COVID2
covid2yp_5110,d2a: Participant temporarily moved to current address: COVID2
covid2yp_5111,d2a: Another adult has moved to participant's address: COVID2
covid2yp_5112,d2a: Adults that participant normally lives with have moved elsewhere: COVID2
covid2yp_5113,d2a: Participant living arrangements have changed for another reason: COVID2
covid2yp_6000,e1a: Participant in full-time paid work before lockdown: COVID2
covid2yp_6001,e1b: Participant in part-time paid work before lockdown: COVID2
covid2yp_6002,e1c: Participant doing irregular/occasional work before lockdown: COVID2
covid2yp_6003,e1d: Participant doing modern apprenticeship/similar scheme before lockdown: COV
covid2yp_6004,e1e: Participant unemployed and looking for work before lockdown: COVID2
covid2yp_6005,e1g: Pp unable to work through sickness/disability before lockdown: COVID2
covid2yp_6006,e1g: Participant in full-time education before lockdown: COVID2
covid2yp_6007,e1h: Participant in part-time education before lockdown: COVID2
covid2yp_6008,e1i: Participant doing voluntary work before lockdown: COVID2
covid2yp_6009,e1j: Participant self-employed before lockdown: COVID2
covid2yp_6010,e1k: Participant a full/part-time carer before lockdown: COVID2
covid2yp_6011,e1l: Participant retired before lockdown: COVID2
covid2yp_6012,e1m: Participant in another employment situation before lockdown: COVID2
covid2yp_6020,e2: Participant's current employment situation: COVID2
covid2yp_6030,e3: Pp is a keyworker/work classified as critical to COVID-19 response: COVID2
covid2yp_6040,e3a: Participant works in health/social care or related support worker: COVID2
covid2yp_6041,e3a: Participant works in teaching or childcare: COVID2
covid2yp_6042,e3a: Participant works in key public services: COVID2
covid2yp_6043,e3a: Participant works in local and national government: COVID2
covid2yp_6044,e3a: Participant works in food and other necessary goods: COVID2
covid2yp_6045,e3a: Participant works in public safety or national security worker: COVID2
covid2yp_6046,e3a: Participant works in transport: COVID2
covid2yp_6047,e3a: Pp works in utilities; communications or financial services: COVID2
covid2yp_6048,e3a: Participant works in other sector: COVID2
covid2yp_6050,e3b: Pp's work requires close contact with others they don't live with: COVID2
covid2yp_6060,e3b: Pp's workplace has access to necessary PPE: COVID2
covid2yp_6070,e4: Participant lives with any keyworkers: COVID2
covid2yp_6080,e4a: Pp lives with health/social care or related support worker: COVID2
covid2yp_6081,e4a: Participant lives with someone working in teaching or childcare: COVID2
covid2yp_6082,e4a: Participant lives with someone working in key public services: COVID2
covid2yp_6083,e4a: Pp lives with someone working in local/national government: COVID2
covid2yp_6084,e4a: Pp lives with someone working in food/other necessary goods: COVID2
covid2yp_6085,e4a: Pp lives with public safety/national security worker: COVID2
covid2yp_6086,e4a: Participant lives with someone working in transport: COVID2
covid2yp_6087,e4a: Pp lives with utilities/communications/financial services worker: COVID2
covid2yp_6088,e4a: Participant lives with someone working in other sector: COVID2
covid2yp_6090,e5: How participant managed financially pre-pandemic: COVID2
covid2yp_6100,e6: Pp's feeling about financial situation compared to pre-pandemic: COVID2
covid2yp_6110,e7: Participant's situation regarding household food availability: COVID2
covid2yp_6120,e8: Pp/partner claimed no benefits/allowances in 3mths prior to pandemic: COVID2
covid2yp_6140,e9: Pp/partner claimed no benefits/allowances since pandemic: COVID2
covid2yp_6160,e10: Since pandemic; pp used mortgage/rent payment holidays: COVID2
covid2yp_6161,e10: Since pandemic; used other debt repayment/interest payment holidays: COVID2
covid2yp_6170,e11: Participant has given unpaid help to someone during the pandemic: COVID2
covid2yp_6175,e11: Participant helped others by shopping for groceries: COVID2
covid2yp_6176,e11: Participant helped others by getting in touch to check on wellbeing: COVID2
covid2yp_6177,e11: Participant helped others by delivering medicines: COVID2
covid2yp_6178,e11: Participant helped others by providing transport to appointments: COVID2
covid2yp_6179,e11: Participant helped others with something else: COVID2
covid2yp_6190,e12: Participant has received new unpaid help during the pandemic: COVID2
covid2yp_6195,e12: Participant received help through shopping for groceries: COVID2
covid2yp_6196,e12: Pp received help through getting in touch to check on wellbeing: COVID2
covid2yp_6197,e12: Participant received help through delivering medicines: COVID2
covid2yp_6198,e12: Pp received help through providing transport to appointments: COVID2
covid2yp_6199,e12: Participant received help through something else: COVID2
covid2yp_7000,f0: How many children participant has: COVID2
covid2yp_7050,f5a: Pp would benefit from support re. child's response to COVID-19: COVID2
covid2yp_7060,f5a1: Participant would like help with: Managing children's emotions: COVID2
covid2yp_7061,f5a1: Participant would like help with: Managing children's behaviours: COVID2
covid2yp_7062,f5a1: Pp would like help with: Managing children's educational demands: COVID2
covid2yp_7063,f5a1: Pp would like help with: Ensuring child follows govt guidelines: COVID2
covid2yp_7064,f5a1: Participant would like help with: Managing family relationships: COVID2
covid2yp_7065,f5a1: Pp would like help with: Children coming out of self-isolation: COVID2
covid2yp_7066,f5a1: Participant would like help with: Other: COVID2
covid2yp_7070,f5a2: Pp's preferred method of receiving help: Online written materials: COVID2
covid2yp_7071,f5a2: Pp's preferred method of receiving help: Online videos: COVID2
covid2yp_7072,f5a2: Pp's preferred method of receiving help: Television programmes: COVID2
covid2yp_7073,f5a2: Pp's preferred method of receiving help: Podcasts: COVID2
covid2yp_7074,f5a2: Pp's preferred method of receiving help: Telephone helpline: COVID2
covid2yp_7075,f5a2: Pp's preferred method of receiving help: Online helpline: COVID2
covid2yp_7076,f5a2: Preferred method of receiving help: Online support (other parents): COVID2
covid2yp_7077,f5a2: Preferred method of receiving help: Online support (professional): COVID2
covid2yp_7078,f5a2: Preferred method of receiving help: Phone call from professional: COVID2
covid2yp_7079,f5a2: Pref method of receiving help: Online parent support group (text): COVID2
covid2yp_7080,f5a2: Pref method of receiving help: Online parent support group (video): COVID2
covid2yp_7081,f5a2: Pp's preferred method of receiving help: Other: COVID2
covid2yp_9620,Date Participant completed questionnaire: Day: COVID2
covid2yp_9621,Date Participant completed questionnaire: Month: COVID2
covid2yp_9622,Date Participant completed questionnaire: Year: COVID2
covid2yp_9650,DV: Age in years on date Q completed: COVID2
covid2yp_9651,DV: Age in months on date Q completed: COVID2
covid3yp_0001a,Serology consent form sent to participant
covid3yp_0001b,Participant responded to serology consent form
covid3yp_0001c,Participant consented to serology test and provided address
covid3yp_0001d,Questionnaire and kit sent to participant
covid3yp_0002,Questionnaire completed by participant
covid3yp_1000,A1_1: Ever had decrease in appetite since March: COVID3
covid3yp_1001,A1_1: Decrease in appetite in March: COVID3
covid3yp_1002,A1_1: Decrease in appetite in April: COVID3
covid3yp_1003,A1_1: Decrease in appetite in May: COVID3
covid3yp_1004,A1_1: Decrease in appetite in June: COVID3
covid3yp_1005,A1_1: Decrease in appetite in July: COVID3
covid3yp_1006,A1_1: Decrease in appetite in August: COVID3
covid3yp_1007,A1_1: Decrease in appetite in Sept: COVID3
covid3yp_1008,A1_1: Decrease in appetite in Oct: COVID3
covid3yp_1010,A1_2: Ever had nausea/vomiting since March: COVID3
covid3yp_1011,A1_2: Nausea/vomiting in March: COVID3
covid3yp_1012,A1_2: Nausea/vomiting in April: COVID3
covid3yp_1013,A1_2: Nausea/vomiting in May: COVID3
covid3yp_1014,A1_2: Nausea/vomiting in June: COVID3
covid3yp_1015,A1_2: Nausea/vomiting in July: COVID3
covid3yp_1016,A1_2: Nausea/vomiting in August: COVID3
covid3yp_1017,A1_2: Nausea/vomiting in Sept: COVID3
covid3yp_1018,A1_2: Nausea/vomiting in Oct: COVID3
covid3yp_1020,A1_3: Ever had diarrhoea since March: COVID3
covid3yp_1021,A1_3: Diarrhoea in March: COVID3
covid3yp_1022,A1_3: Diarrhoea in April: COVID3
covid3yp_1023,A1_3: Diarrhoea in May: COVID3
covid3yp_1024,A1_3: Diarrhoea in June: COVID3
covid3yp_1025,A1_3: Diarrhoea in July: COVID3
covid3yp_1026,A1_3: Diarrhoea in August: COVID3
covid3yp_1027,A1_3: Diarrhoea in Sept: COVID3
covid3yp_1028,A1_3: Diarrhoea in Oct: COVID3
covid3yp_1030,A1_4: Ever had abdominal pain since March: COVID3
covid3yp_1031,A1_4: Abdominal pain in March: COVID3
covid3yp_1032,A1_4: Abdominal pain in April: COVID3
covid3yp_1033,A1_4: Abdominal pain in May: COVID3
covid3yp_1034,A1_4: Abdominal pain in June: COVID3
covid3yp_1035,A1_4: Abdominal pain in July: COVID3
covid3yp_1036,A1_4: Abdominal pain in August: COVID3
covid3yp_1037,A1_4: Abdominal pain in Sept: COVID3
covid3yp_1038,A1_4: Abdominal pain in Oct: COVID3
covid3yp_1040,A1_5: Ever had runny nose since March: COVID3
covid3yp_1041,A1_5: Runny nose in March: COVID3
covid3yp_1042,A1_5: Runny nose in April: COVID3
covid3yp_1043,A1_5: Runny nose in May: COVID3
covid3yp_1044,A1_5: Runny nose in June: COVID3
covid3yp_1045,A1_5: Runny nose in July: COVID3
covid3yp_1046,A1_5: Runny nose in August: COVID3
covid3yp_1047,A1_5: Runny nose in Sept: COVID3
covid3yp_1048,A1_5: Runny nose in Oct: COVID3
covid3yp_1050,A1_6: Ever had sneezing since March: COVID3
covid3yp_1051,A1_6: Sneezing in March: COVID3
covid3yp_1052,A1_6: Sneezing in April: COVID3
covid3yp_1053,A1_6: Sneezing in May: COVID3
covid3yp_1054,A1_6: Sneezing in June: COVID3
covid3yp_1055,A1_6: Sneezing in July: COVID3
covid3yp_1056,A1_6: Sneezing in August: COVID3
